,Temperature,Cool Rate,Final Score,Compute Time
0,500.0,0.95,5516,98.63594102859497
1,500.0,0.955,3657,82.05668783187866
2,500.0,0.96,4003,84.45327591896057
3,500.0,0.965,4680,90.0837812423706
4,500.0,0.97,4649,337.8487150669098
5,500.0,0.975,4023,89.92175626754761
6,500.0,0.98,3105,70.33698201179504
7,500.0,0.985,4511,96.12217998504639
8,500.0,0.99,3523,1008.4700899124146
9,500.0,0.995,5115,97.77268481254578
10,750.0,0.95,4099,86.71053910255432
11,750.0,0.955,3585,79.84589529037476
12,750.0,0.96,4666,89.67814302444458
13,750.0,0.965,5524,97.85686874389648
14,750.0,0.97,4115,83.90258526802063
15,750.0,0.975,5696,133.84410214424133
16,750.0,0.98,5001,95.04234910011292
17,750.0,0.985,4240,89.36477971076965
18,750.0,0.99,5038,97.76082873344421
19,750.0,0.995,5238,98.64000582695007
20,1000.0,0.95,3959,75.84048318862915
21,1000.0,0.955,5103,88.7432689666748
22,1000.0,0.96,5088,93.1331160068512
23,1000.0,0.965,4270,88.78585600852966
24,1000.0,0.97,4279,88.12588381767273
25,1000.0,0.975,3976,87.73611688613892
26,1000.0,0.98,5179,89.10771679878235
27,1000.0,0.985,4591,87.6772301197052
28,1000.0,0.99,3500,70.79324197769165
29,1000.0,0.995,5635,97.90615010261536
30,1250.0,0.95,4452,90.90542602539062
31,1250.0,0.955,4242,87.50401067733765
32,1250.0,0.96,6435,112.6392776966095
33,1250.0,0.965,3992,83.50967192649841
34,1250.0,0.97,4616,98.84676885604858
35,1250.0,0.975,4562,89.71676111221313
36,1250.0,0.98,4564,93.20525598526001
37,1250.0,0.985,4553,95.25723814964294
38,1250.0,0.99,4594,93.08658623695374
39,1250.0,0.995,3060,64.19420385360718
40,1500.0,0.95,4136,85.51309704780579
41,1500.0,0.955,4537,88.46708607673645
42,1500.0,0.96,4032,76.01431822776794
43,1500.0,0.965,3722,77.86976313591003
44,1500.0,0.97,4115,85.83380675315857
45,1500.0,0.975,4279,85.66517686843872
46,1500.0,0.98,5150,98.63100790977478
47,1500.0,0.985,5830,112.60361909866333
48,1500.0,0.99,4324,89.70594525337219
49,1500.0,0.995,4905,94.60536885261536
50,1750.0,0.95,5880,105.57898211479187
51,1750.0,0.955,4940,93.84569811820984
52,1750.0,0.96,5613,101.99168992042542
53,1750.0,0.965,4921,94.92695093154907
54,1750.0,0.97,4809,96.39731407165527
55,1750.0,0.975,5101,99.41980719566345
56,1750.0,0.98,5664,102.1863260269165
57,1750.0,0.985,4783,93.33217024803162
58,1750.0,0.99,6198,105.50780701637268
59,1750.0,0.995,4834,88.6542341709137
60,2000.0,0.95,5579,104.9737319946289
61,2000.0,0.955,6662,117.61010003089905
62,2000.0,0.96,3812,79.26670527458191
63,2000.0,0.965,4126,79.41861414909363
64,2000.0,0.97,5916,104.23409509658813
65,2000.0,0.975,4710,88.15809321403503
66,2000.0,0.98,5367,98.15484404563904
67,2000.0,0.985,4432,83.6973557472229
68,2000.0,0.99,6068,117.46344184875488
69,2000.0,0.995,4892,95.92785716056824
70,2250.0,0.95,5682,105.58117008209229
71,2250.0,0.955,4544,92.6016788482666
72,2250.0,0.96,4425,89.09357404708862
73,2250.0,0.965,4984,97.77930188179016
74,2250.0,0.97,4451,85.08432507514954
75,2250.0,0.975,5898,102.03430914878845
76,2250.0,0.98,5411,111.21875309944153
77,2250.0,0.985,5994,105.30897569656372
78,2250.0,0.99,5001,100.45086812973022
79,2250.0,0.995,5130,89.48197317123413
80,2500.0,0.95,4509,90.64913392066956
81,2500.0,0.955,7048,114.88348913192749
82,2500.0,0.96,4462,87.0552499294281
83,2500.0,0.965,4245,80.08139681816101
84,2500.0,0.97,5174,98.70112681388855
85,2500.0,0.975,3976,83.15533185005188
