Iterations,Scores
0,80
1,80
2,80
3,147
4,147
5,147
6,147
7,177
8,177
9,182
10,371
11,371
12,383
13,380
14,380
15,380
16,396
17,396
18,396
19,396
20,357
21,357
22,349
23,349
24,349
25,349
26,349
27,349
28,349
29,360
30,357
31,357
32,357
33,120
34,120
35,120
36,117
37,117
38,117
39,117
40,117
41,117
42,117
43,114
44,114
45,114
46,114
47,114
48,114
49,114
50,308
51,308
52,271
53,271
54,271
55,267
56,267
57,267
58,265
59,265
60,265
61,265
62,265
63,265
64,265
65,265
66,268
67,268
68,268
69,276
70,288
71,242
72,242
73,206
74,194
75,194
76,101
77,101
78,101
79,101
80,101
81,101
82,101
83,101
84,101
85,149
86,149
87,149
88,77
89,77
90,77
91,77
92,77
93,77
94,77
95,77
96,77
97,77
98,77
99,77
100,77
101,77
102,77
103,77
104,77
105,77
106,77
107,77
108,77
109,77
110,77
111,77
112,242
113,242
114,242
115,242
116,242
117,242
118,242
119,242
120,234
121,234
122,234
123,234
124,234
125,234
126,234
127,234
128,234
129,234
130,234
131,231
132,231
133,382
134,382
135,382
136,382
137,382
138,382
139,394
140,394
141,394
142,382
143,382
144,377
145,397
146,397
147,397
148,397
149,397
150,397
151,397
152,397
153,353
154,353
155,353
156,353
157,353
158,362
159,362
160,362
161,362
162,362
163,362
164,321
165,321
166,321
167,337
168,337
169,337
170,337
171,337
172,337
173,337
174,337
175,337
176,337
177,341
178,341
179,341
180,341
181,341
182,339
183,340
184,340
185,340
186,340
187,340
188,340
189,340
190,340
191,340
192,340
193,340
194,304
195,304
196,304
197,306
198,306
199,332
200,344
201,344
202,344
203,344
204,337
205,362
206,362
207,362
208,362
209,362
210,349
211,349
212,349
213,349
214,349
215,349
216,349
217,349
218,349
219,349
220,349
221,349
222,349
223,349
224,349
225,349
226,349
227,349
228,349
229,349
230,349
231,349
232,350
233,350
234,350
235,350
236,350
237,358
238,306
239,377
240,384
241,384
242,384
243,384
244,384
245,384
246,384
247,384
248,384
249,384
250,384
251,384
252,384
253,384
254,384
255,384
256,384
257,384
258,384
259,384
260,384
261,397
262,411
263,411
264,411
265,411
266,411
267,411
268,411
269,411
270,411
271,428
272,428
273,407
274,407
275,407
276,409
277,409
278,409
279,409
280,409
281,409
282,409
283,409
284,409
285,409
286,409
287,409
288,409
289,409
290,409
291,409
292,409
293,408
294,408
295,408
296,408
297,408
298,408
299,408
300,408
301,408
302,408
303,408
304,408
305,408
306,395
307,395
308,395
309,395
310,395
311,395
312,395
313,395
314,395
315,395
316,395
317,395
318,397
319,392
320,392
321,392
322,389
323,389
324,389
325,389
326,370
327,370
328,370
329,370
330,370
331,370
332,370
333,370
334,370
335,370
336,370
337,370
338,370
339,373
340,373
341,373
342,373
343,373
344,373
345,373
346,373
347,373
348,373
349,373
350,373
351,373
352,373
353,373
354,373
355,373
356,373
357,373
358,373
359,373
360,373
361,373
362,373
363,373
364,373
365,373
366,501
367,504
368,504
369,504
370,504
371,504
372,504
373,504
374,504
375,507
376,507
377,507
378,507
379,507
380,501
381,501
382,501
383,501
384,501
385,501
386,501
387,501
388,501
389,501
390,501
391,501
392,501
393,501
394,501
395,501
396,501
397,501
398,501
399,501
400,501
401,501
402,501
403,501
404,501
405,501
406,501
407,501
408,501
409,501
410,501
411,501
412,501
413,501
414,501
415,501
416,501
417,499
418,499
419,499
420,499
421,499
422,499
423,499
424,499
425,499
426,499
427,499
428,499
429,499
430,499
431,499
432,499
433,507
434,507
435,507
436,507
437,509
438,509
439,509
440,509
441,509
442,509
443,513
444,513
445,513
446,513
447,513
448,513
449,513
450,513
451,513
452,520
453,520
454,520
455,520
456,520
457,519
458,519
459,519
460,519
461,519
462,519
463,519
464,519
465,519
466,521
467,521
468,521
469,521
470,521
471,521
472,521
473,521
474,521
475,521
476,522
477,522
478,624
479,624
480,624
481,624
482,624
483,624
484,624
485,623
486,623
487,623
488,623
489,626
490,626
491,626
492,625
493,625
494,625
495,630
496,630
497,630
498,630
499,630
500,630
501,630
502,630
503,630
504,627
505,627
506,671
507,671
508,671
509,671
510,671
511,671
512,671
513,671
514,671
515,671
516,670
517,670
518,672
519,677
520,677
521,677
522,677
523,677
